SOURCE,DESTINATION,MAP_URL,LAT1,LON1,LAT2,LON2
home,main gate,"https://www.google.com/maps/embed/v1/directions?key=YOUR_GOOGLE_API_KEY&origin=28.637205,77.361294&destination=28.636852,77.360709&mode=walking",28.637205,77.361294,28.639076,77.363080
main gate,home,"https://www.google.com/maps/embed/v1/directions?key=YOUR_GOOGLE_API_KEY&origin=28.636852,77.360709&destination=28.637205,77.361294&mode=walking",28.639076,77.363080,28.637205,77.361294
JIIT LRC,JIIT ground,"",28.519108016828994,77.36516032678988,28.519474162287,77.3658171330815
JIIT ground,JIIT LRC,"",28.519474162287,77.3658171330815,28.519108016828994,77.36516032678988
Aditya Swim,Gate1,"",28.637608708429198,77.36166425073291,28.636762332678256,77.3604228493738
Gate1,Aditya Swim,"",28.636762332678256,77.3604228493738,28.637608708429198,77.36166425073291
main_gate,block_b,"",28.631203666848148, 77.37092360036895,28.630277093157098,77.37194422939058
block_b,main_gate,"",28.630277093157098,77.37194422939058,28.631203666848148, 77.37092360036895
